RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =            7     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
  120  136     0     0  con    0  1.0D+00  4.1D-02  6.877D-06  1.941D-06
  121  137     0     0  con    0  1.0D+00  1.0D-01  4.507D-06  1.941D-06
  122  139     0     0  con    1  2.8D-01  1.5D-01  2.602D-06  1.940D-06
  123  141     0     0  con    1  3.1D-01  5.4D-02  2.893D-06  1.940D-06
  124  142     0     0  con    0  1.0D+00  1.5D-02  2.140D-06  1.940D-06
  125  143     0     0  con    0  1.0D+00  7.7D-03  4.971D-07  1.940D-06
  126  144     0     0  con    0  1.0D+00  6.6D-02  2.155D-06  1.940D-06
  127  145     0     0  con    0  1.0D+00  9.9D-02  7.637D-06  1.940D-06
  128  146     0     0  con    0  1.0D+00  2.2D-02  2.929D-06  1.940D-06
  129  147     0     0  con    0  1.0D+00  1.8D-02  1.887D-06  1.940D-06
  130  148     0     0  con    0  1.0D+00  8.9D-03  9.132D-07  1.940D-06
  131  149     0     0  con    0  1.0D+00  6.0D-03  7.370D-07  1.940D-06
  132  156     0     0  con    6  2.0D-01  9.8D-03  6.456D-07  1.940D-06
  133  162     0     0  con    5  1.5D-01  7.0D-03  5.625D-07  1.939D-06
  134  173     0     0  con   10  3.0D-02  1.5D-03  1.543D-06  1.939D-06
  135  174     0     0  con    0  1.0D+00  2.8D-03  3.296D-07  1.939D-06
  136  175     0     0  con    0  1.0D+00  3.3D-03  4.654D-07  1.939D-06
  137  178     0     0  con    2  1.5D+00  6.2D-04  2.613D-07  1.939D-06
  138  186     0     0  con    7  6.6D-01  5.7D-03  9.459D-07  1.939D-06
